時間,じかん,time
テーブルを拭く,てーぶるをふく,to wipe off table
シャツをクリーニングに出す,しゃつをくりーにんぐにだす,to take a shirt to the dry cleaner
ゴミ,ごみ,garbage
ゴミを分別する,ごみをぶんべつする,to sort garbage
粗大ゴミ,そだいごみ,bulky garbage
ゴミのリサイクル,ごみのりさいくる,garbage recycling
ゴミの回収,ごみのかいしゅう,garbage collection
回収,かいしゅう,collection
(朝)寝坊する,(あさ)ねぼうする,"to oversleep, to sleep in late"
犬の散歩をする,いぬのさんぽをする,to walk a dog
散歩をする,さんぽをする,to have a walk
餌(えさ)をやる,えさをやる,"to feed (a dog, pet, etc.)"
餌(えさ),えさ,"food  (pet/animal), bait"
犬の世話をする,いぬのせわをする,to take care of a dog
世話をする,せわをする,to take care
花に水をやる,はなにみずをやる,to water flowers
忘れ物をする,わすれものをする,"to forget something, to leave something behind"
充電,じゅうでん,to recharge battery
留守,るす,away from home
留守番をする,るすばんをする,to stay at home
身嗜み(みだしなみ)が大切,みだしなみがたいせつ,grooming/appearance is important
身嗜み(みだしなみ),みだしなみ,grooming/appearance
大切,たいせつ,important
暮らす,くらす,"to live, to reside"
一人暮らし,ひとりぐらし,living alone
電車,でんしゃ,trains
乗り換える,のりかえる,"to change trains, to transfer"
乗り越す,のりこす,to ride past one's stop
越す,こす,"to go over, pass, exceed"
乗り過ごす,のりすごす,to ride past one's stop
過ごす,すごす,"to go through, go over"
乗り遅れる,のりおくれる,to miss (the train)
席を譲る(ゆずる),せきをゆずる,to give up one's seat
譲る(ゆずる),ゆずる,"to turn over, hand over, to surrender"
間に合う,まにあう,to be on time
～に止まる,～にとまる,to stop at ~
鉄道,てつどう,railroad
JR,JR,Japan Railways
～線,～せん,~ line
新幹線,しんかんせん,bullet train
地下鉄,ちかてつ,subway
特急,とっきゅう,"limited express, special express"
急行,きゅうこう,express
快速,かいそく,"rapid, express"
各駅停車,かくえきていしゃ,local train
時刻表,じこくひょう,timetable
ダイヤ,だいや,timetable (diagram)
乗客,じょうきゃく,passenger
車掌(しゃしょう),しゃしょう,conductor
～行き,～いき,bound for ~
上り,のぼり,upbound
下り,くだり,downbound
終点,しゅうてん,"terminal, last stop"
～目,～め,~-st/-nd/-rd/-th
通過する,つうかする,to pass through
停車する,ていしゃする,to stop
発車する,はっしゃする,to depart
到着する,とうちゃくする,to arrive
列車,れっしゃ,train
車内,しゃない,inside the train
車両,しゃりょう,(train) car
終電,しゅうでん,last train of the day
満員電車,まんいんでんしゃ,crowded train
線路,せんろ,railroad tracks
踏切,ふみきり,railroad crossing
乗車券,じょうしゃけん,train ticket
片道,かたみち,one way
往復,おうふく,roundtrip
座席,ざせき,seats
指定席,していせき,reserved seat
自由席,じゆうせき,non-reserved seat
窓側,まどがわ,window-side
通路側,つうろがわ,aisle-side
満席,まんせき,all seats are taken
空席,くうせき,empty/available seat
優先席,ゆうせんせき,courtesy seat
駅,えき,stations
ホーム,ほーむ,platform
～番線,～ばんせん,track no. ~
乗り場,のりば,"taxi stand, bus stop"
切符売り場,きっぷうりば,ticket counter
通路,つうろ,passageway
南口,みなみぐち,South Gate
中央口,ちゅうおうぐち,central entrance
出口,でぐち,exit
改札口,かいさつぐち,"wicket, turnstile"
公園口,こうえんぐち,park gate/opening
非常口,ひじょうぐち,emergency exit
飛行機,ひこうき,airplane
空港,くうこう,airport
航空機,こうくうき,"aircraft, airplane"
ジェット機,じぇっとき,jet
エコノミークラス,えこのみーくらす,economy class
ビジネスクラス,びじねすくらす,business class
ファーストクラス,ふぁーすとくらす,first class
～便,～びん,~ flight
直行便,ちょっこうびん,direct flight
経由,けいゆ,via
入国,にゅうこく,entering a country
出国,しゅっこく,leaving a country
免税店,めんぜいてん,duty-free store
税関,ぜいかん,customs
出迎える,でむかえる,to meet (someone at the airport)
荷物を預ける,にもつをあずける,to check in luggage
預ける,あずける,"to deposit, to entrust/look after (something)"
ヘリコプター,へりこぷたー,helicopter
路線,ろせん,route
停留所,ていりゅうじょ,terminal
バス停,バスてい,bus terminal
運賃,うんちん,fare
高速道路,こうそくどうろ,expressway
シートベルト,しーとべると,seatbelt
車道,しゃどう,road
歩道,ほどう,sidewalk
ブレーキ,ぶれーき,brakes
速度,そくど,speed
停車する,ていしゃする,to stop
免許,めんきょ,license
行き先,いきさき,destination
トラック,とらっく,truck
バイク,ばいく,motorcycle
タクシーを拾う,たくしーをひろう,get a taxi
拾う,ひろう,to get
タクシーを捕まえる,たくしーをつかまえる,get a taxi
捕まえる,つかまえる,"catch, get (tv)"
タクシーが捕まる,たくしーがつかまる,got a taxi
捕まる,つかまる,"caught, got (iv)"
安全,あんぜん,safe
危険,きけん,dangerous
リビング,りぎんぐ,living room
居間,いま,living room
ダイニング,だいにんぐ,dining room
食堂,しょくどう,dining room
食卓,しょくたく,dining table
キッチン,きっちん,kitchen
台所,だいどころ,kitchen
天井,てんじょう,ceiling
床,ゆか,floor
フローリング,ふろーりんぐ,flooring
廊下,ろうか,hallway
柱,はしら,"pillar, post"
壁,かべ,wall
ベランダ,べらんだ,"balcony, porch"
和室,わしつ,Japanese-stlye room
畳(たたみ),たたみ,tatami (straw mat)
マンション,まんしょん,"condominium, apartment (house)"
ワンルーム,わんるーむ,studio apartment
オートロック,おーとろっく,automatic lock
家具,かぐ,furniture
家電製品,かでんせいひん,appliances
扇風機,せんぷうき,electric fan
エアコン,えあこん,air conditioner
ドライヤー,どらいやー,dryer
ソファー,そふぁー,sofa
カーペット,かーぺっと,carpet
絨毯(じゅうたん),じゅうたん,"carpet, rug"
毛布,もうふ,blanket
コンセント,こんせんと,(electrical) outlet
家庭用品,かていようひん,Household items
タオル,タオル,towel
スリッパ,スリッパ,slippers
枕,まくら,pillow
ティッシュ,てぃっしゅ,tissue paper
大家,おおや,landlord
飾る,かざる,to decorate (with something)
掛かる(かかる),かかる,to be hung (on a wall)
店,みせ,store
書店,しょてん,bookstore
本屋,ほんや,bookstore
雑貨屋,ざっかや,sundries shop
スポーツ用品店,すぽーつようひんてん,sporting goods store
美容院,びよういん,beauty salon
カフェ,かふぇ,caf?
薬屋,くすりや,drugstore
薬局,くすりきょく,pharmacy
ドラッグストア,どらっぐすとあ,drugstore
不動産屋,ふどうさんや,real estate agency
牛丼屋,ぎゅうどんや,gyudon (bowl of rice topped with beef) restaurant
イタリアン,いたりあん,Italian restaurant
中国料理店,ちゅうごくりょうりてん,Chinese restaurant
ファーストフード,ふぁすとふーど,fast food restaurant
100円ショップ,100えんしょっぷ,100-yen shop
医院,いいん,hospital
クリニック,くりにっく,clinic
商店,しょうてん,store
家電量販店,かでんりょうはんてん,discount electronics store
映画館,えいがかん,movie theater
劇場,げきじょう,theater
競技場,きょうぎじょう,"stadium, arena"
スタジアム,すたじあむ,"stadium, arena"
ATM,ATM,Automated teller machine
ポスト,ぽすと,mailbox
商店街,しょうてんがい,shopping district
駅ビル,えきびる,station building
街の風景,まちのふうけい,Cityscape
風景,ふうけい,"landscape, scenery"
様子,ようす,"state, aspect, condition"
駅前,えきまえ,area in front of a station
広場,ひろば,plaza
大通り,おおどおり,main street
空き地,あきち,vacant lot
看板,かんばん,sign
広告,こうこく,ad
ベンチ,べんち,bench
活気がある,かっきがある,to be lively
賑わう(にぎわう),にぎわう,to bustle
人通りが多い,ひとどおりがおおい,to be crowded
通行人,つうこうにん,passerby
人ごみ,ひとごみ,crowd
混雑,こんざつ,congestion
ぶらぶらする,ぶらぶらする,to stroll around
覗く(のぞく),のぞく,to peek inside
見かける,みかける (人を),"to see, to come across"
地元,じもと,local
雰囲気,ふんいき,atmosphere
雰囲気がいい,ふんいきがいい,to have a nice atmosphere
お金,おかね,money
お札,おさつ,"paper currency, bill"
紙幣,しへい,"paper currency, bill"
硬貨,こうか,coin
コイン,こいん,coin
小銭,こぜに,change
現金,げんきん,cash
キャッシュ,きゃっしゅ,cash
クレジットカード,くれじっとかーど,credit card
両替する,りょうがえする,to change/exchange (money)
お金を崩す,おかねをくずす,to change/break money
お金を降ろす,おかねをおろす,to withdraw money
振り込む,ふりこむ,to pay into bank account
お金を節約する,おかねをせつやくする,to save money
節約する,せつやくする,"to save, to conserve"
お金を貯める,おかねをためる,to save up money
貯金する,ちょきんする,to save up money
売れる,うれる,to be sold
売り切れる,うりきれる,to be sold out
売り切れ,売り切れ,to be sold out
売上,うりあげ,sales
会計,かいけい,accounting
支払う,しはらう,to pay
レシート,れしーと,receipt
市場,いちば,market
フリーマーケット,ふりーまーけっと,flea market
フリマ,ふりま,flea market
値段,ねだん,price
金額,きんがく,(monetary) amount
(～円)負ける,まける,to discount
セール,せーる,sales
バーゲン,ばーげん,sales (bargain)
特売,とくばい,special bargain
セール価格,せーるかかく,sales baragain
２割引,２０わりびき,20% discount
20％オフ,20％おふ,20% discount
定価の半額,ていかのはんがく,half of the list price
行列に並ぶ,ぎょうれつにならぶ,to wait in line
並ぶ,ならぶ,to fall in line
行列,ぎょうれつ,line
税金,ぜいきん,tax
消費税を含む,しょうひぜいをふくむ,to include consumption tax
含む,ふくむ,to include
消費税,しょうひぜい,consumption tax
物価が高い,ぶっかがたかい,prices are expensive
物価,ぶっか,price
ポイントカード,ぽいんとかーど,point card
クーポン,くーぽん,coupon
得をする,とくをする,to profit from
損をする,そんをする,to suffer a loss
返す,かえす,to return
借金,しゃっきん,debt
借金を返す,しゃっきんをかえす,to repay a debt
